user_id,session_id,clip_id,hr_mean,hr_max,hr_change_from_baseline,hr_slope,hr_recovery,eda_mean,eda_change_from_baseline,eda_peak_count,eda_max_amplitude,eda_slope,eda_recovery
Official_run_1,self_20260531_155844,clip_039,,,,0.0,,0.39745,0.07923,754,0.10808,3.9e-05,-0.0056
Official_run_1,self_20260531_155844,clip_137,,,,0.0,,0.3599,0.04859,566,0.09159,3.3e-05,-0.004
Official_run_1,self_20260531_155844,clip_084,,,,0.0,,0.34608,0.04534,448,0.10537,6.1e-05,-0.0145
Official_run_1,self_20260531_155844,clip_125,,,,0.0,,0.36809,-0.00918,7,0.03043,-2e-06,-0.0161
Official_run_1,self_20260531_155844,clip_113,,,,0.0,,0.40358,-0.00221,117,0.03981,2.7e-05,-0.0088
Official_run_1,self_20260531_155844,clip_077,,,,0.0,,0.40021,0.0274,561,0.0656,-4.2e-05,-0.079
Official_run_1,self_20260531_155844,clip_134,,,,0.0,,0.43599,0.03596,503,0.06657,-2.5e-05,-0.0629
Official_run_1,self_20260531_155844,clip_024,,,,0.0,,0.39673,0.02506,408,0.07564,7.3e-05,-0.0081
Official_run_1,self_20260531_155844,clip_063,,,,0.0,,0.42322,0.03209,571,0.06016,2.9e-05,-0.0186
Official_run_1,self_20260531_220954,clip_198,,,,0.0,,0.37236,-0.01293,77,0.0362,2e-06,-0.0259
Official_run_1,self_20260531_220954,clip_205,,,,0.0,,0.37988,0.00566,253,0.06818,-3.8e-05,-0.0564
Official_run_1,self_20260531_220954,clip_172,,,,0.0,,0.4691,-0.00131,142,0.05179,-4e-05,-0.058
Official_run_1,self_20260531_220954,clip_173,,,,0.0,,0.41886,0.08592,474,0.18926,0.000126,-0.0065
Official_run_1,self_20260531_220954,clip_200,,,,0.0,,0.33342,-0.09488,0,0.0,8.1e-05,-0.0016
Official_run_1,self_20260531_220954,clip_168,,,,0.0,,0.39964,0.04417,533,0.09902,-4.1e-05,-0.1088
Official_run_1,self_20260531_220954,clip_192,,,,0.0,,0.3636,-0.06663,108,0.07747,-0.00021,-0.2523
Official_run_1,self_20260531_220954,clip_215,,,,0.0,,0.28413,-0.02805,2,0.02702,1.7e-05,-0.0257
Official_run_1,self_20260531_220954,clip_208,,,,0.0,,0.40898,0.00147,284,0.05909,-6.2e-05,-0.1153
Official_run_1,self_20260531_220954,clip_184,,,,0.0,,0.4455,0.03128,450,0.07658,1.9e-05,-0.0137
Official_run_1,self_20260531_220954,clip_229,,,,0.0,,0.35885,-0.062,0,0.0,-3.5e-05,-0.05
Official_run_1,self_20260531_220954,clip_207,,,,0.0,,0.2112,-0.08459,2,0.03381,-0.000104,-0.1274
Official_run_1,self_20260531_220954,clip_196,,,,0.0,,0.37307,0.06057,526,0.09759,2.4e-05,-0.0153
Official_run_1,self_20260531_220954,clip_204,,,,0.0,,1.00606,-0.10463,52,0.04651,-6.7e-05,-0.1346
Official_run_1,self_20260531_220954,clip_185,,,,0.0,,1.01179,-0.02416,134,0.04954,8.6e-05,-0.0185
Official_run_1,self_20260531_220954,clip_195,,,,0.0,,1.04293,-0.01377,200,0.0779,-0.000122,-0.2087
Official_run_1,self_20260531_220954,clip_223,,,,0.0,,0.65503,-0.07698,0,0.0,-0.0,-0.0113
Official_run_1,self_20260531_220954,clip_221,,,,0.0,,0.65495,-0.00138,385,0.05767,-0.0,-0.1016
Official_run_1,self_20260531_220954,clip_232,,,,0.0,,0.65445,-0.00242,383,0.05393,-1e-06,-0.0701
Official_run_1,self_20260531_220954,clip_191,,,,0.0,,0.65432,-4e-05,384,0.05804,-0.0,-0.0717
Official_run_1,self_20260531_220954,clip_186,,,,0.0,,0.65547,0.00023,382,0.05716,0.0,-0.0129
Official_run_1,self_20260531_220954,clip_201,,,,0.0,,0.65525,0.00038,386,0.05753,0.0,-0.0419
Official_run_1,self_20260531_220954,clip_240,,,,0.0,,0.65611,-6e-05,367,0.11263,2e-06,-0.1661
