user_id,session_id,clip_id,trial_index,rest_start_time,rest_end_time,clip_start_time,clip_end_time,preference,arousal,valence,mood,familiarity,notes
Official_run_1,self_20260531_220954,clip_210,34,2026-05-31T22:44:15.944,2026-05-31T22:44:35.988,2026-05-31T22:44:38.033,2026-05-31T22:45:08.042,,,1,negative,1,
Official_run_1,self_20260531_220954,clip_222,35,2026-05-31T22:45:13.148,2026-05-31T22:45:33.151,2026-05-31T22:45:35.194,2026-05-31T22:46:05.213,,,1,negative,1,
Official_run_1,self_20260531_220954,clip_234,36,2026-05-31T22:46:10.662,2026-05-31T22:46:30.674,2026-05-31T22:46:32.723,2026-05-31T22:47:02.741,,,1,negative,1,
Official_run_1,self_20260531_220954,clip_217,37,2026-05-31T22:47:07.771,2026-05-31T22:47:27.776,2026-05-31T22:47:29.826,2026-05-31T22:47:59.841,,,1,negative,1,
Official_run_1,self_20260531_220954,clip_181,38,2026-05-31T22:48:04.282,2026-05-31T22:48:24.294,2026-05-31T22:48:26.339,2026-05-31T22:48:56.374,,,2,neutral,1,
Official_run_1,self_20260531_220954,clip_179,39,2026-05-31T22:49:00.732,2026-05-31T22:49:20.750,2026-05-31T22:49:22.799,2026-05-31T22:49:52.804,,,2,neutral,1,
Official_run_1,self_20260531_220954,clip_175,40,2026-05-31T22:50:05.143,2026-05-31T22:50:25.144,2026-05-31T22:50:27.193,2026-05-31T22:50:57.194,,,2,neutral,1,
Official_run_1,self_20260531_220954,clip_194,41,2026-05-31T23:00:30.209,2026-05-31T23:00:50.218,2026-05-31T23:00:52.263,2026-05-31T23:01:22.270,,,2,neutral,1,
Official_run_1,self_20260531_220954,clip_154,42,2026-05-31T23:01:27.171,2026-05-31T23:01:47.187,2026-05-31T23:01:49.238,2026-05-31T23:02:19.259,,,2,neutral,1,
Official_run_1,self_20260531_220954,clip_170,43,2026-05-31T23:02:26.373,2026-05-31T23:02:46.379,2026-05-31T23:02:48.428,2026-05-31T23:03:18.429,,,2,neutral,1,
Official_run_1,self_20260531_220954,clip_235,44,2026-05-31T23:03:22.293,2026-05-31T23:03:42.313,2026-05-31T23:03:44.363,2026-05-31T23:04:14.368,,,2,neutral,1,
Official_run_1,self_20260531_220954,clip_231,45,2026-05-31T23:04:48.590,2026-05-31T23:05:08.608,2026-05-31T23:05:10.655,2026-05-31T23:05:40.687,,,3,positive,1,
Official_run_1,self_20260531_220954,clip_180,46,2026-05-31T23:05:47.971,2026-05-31T23:06:07.978,2026-05-31T23:06:10.024,2026-05-31T23:06:40.029,,,2,neutral,1,
Official_run_1,self_20260531_220954,clip_152,47,2026-05-31T23:06:49.785,2026-05-31T23:07:09.788,2026-05-31T23:07:11.835,2026-05-31T23:07:41.844,,,2,neutral,1,
Official_run_1,self_20260531_220954,clip_227,48,2026-05-31T23:07:46.015,2026-05-31T23:08:06.035,2026-05-31T23:08:08.081,2026-05-31T23:08:38.085,,,2,neutral,1,
Official_run_1,self_20260531_220954,clip_202,49,2026-05-31T23:09:04.323,2026-05-31T23:09:24.337,2026-05-31T23:09:26.385,2026-05-31T23:09:56.388,,,2,neutral,1,
