song_query,artist_query,selected_track_id,manual_track_name,manual_artist,manual_album,manual_genre,manual_preview_url,current_selection,best_scored_track_id,best_scored_candidate
Two Thousand and Seventeen,Four Tet,1288518126,,,,,,Two Thousand and Seventeen - Four Tet,1288518126,Two Thousand and Seventeen - Four Tet
Open Eye Signal,Jon Hopkins,1688995997,,,,,,Open Eye Signal (Remaster 2023) - Jon Hopkins,1688995997,Open Eye Signal (Remaster 2023) - Jon Hopkins
Dreams Tonite,Alvvays,1651326697,,,,,,Dreams Tonite - Alvvays,1651326697,Dreams Tonite - Alvvays
Show Me How,Men I Trust,1719975688,,,,,,Show Me How - Men I Trust,1719975688,Show Me How - Men I Trust
Be Sweet,Japanese Breakfast,1553364593,,,,,,Be Sweet - Japanese Breakfast,1553364593,Be Sweet - Japanese Breakfast
Silk Chiffon,MUNA,1611606408,,,,,,Silk Chiffon (feat. Phoebe Bridgers) - MUNA,1611606408,Silk Chiffon (feat. Phoebe Bridgers) - MUNA
XS,Rina Sawayama,1493469443,,,,,,XS - Rina Sawayama,1493469443,XS - Rina Sawayama
Killshot,Magdalena Bay,1499440465,,,,,,Killshot - Magdalena Bay,1499440465,Killshot - Magdalena Bay
So Hot You're Hurting My Feelings,Caroline Polachek,1482422205,,,,,,So Hot You're Hurting My Feelings - Caroline Polachek,1482422205,So Hot You're Hurting My Feelings - Caroline Polachek
Only Acting,Kero Kero Bonito,1651294284,,,,,,Only Acting - Kero Kero Bonito,1651294284,Only Acting - Kero Kero Bonito
Your Best American Girl,Mitski,1087128509,,,,,,Your Best American Girl - Mitski,1087128509,Your Best American Girl - Mitski
Saw You in a Dream,The Japanese House,1440889384,,,,,,Saw You In A Dream - The Japanese House,1440889384,Saw You In A Dream - The Japanese House
Ceremony,New Order,1530256507,,,,,,Ceremony - New Order,1530256507,Ceremony - New Order
Life's What You Make It,Talk Talk,696670535,,,,,,Life's What You Make It - Talk Talk,696670535,Life's What You Make It - Talk Talk
Love My Way,The Psychedelic Furs,211438542,,,,,,Love My Way - The Psychedelic Furs,211438542,Love My Way - The Psychedelic Furs
A Forest,The Cure,65619482,,,,,,A Forest - The Cure,65619482,A Forest - The Cure
Cities in Dust,Siouxsie and the Banshees,1443842139,,,,,,Cities In Dust - Siouxsie & The Banshees,1443842139,Cities In Dust - Siouxsie & The Banshees
The Killing Moon,Echo & the Bunnymen,31740178,,,,,,The Killing Moon - Echo & The Bunnymen,31740178,The Killing Moon - Echo & The Bunnymen
Enola Gay,Orchestral Manoeuvres in the Dark,714776989,,,,,,Enola Gay - Orchestral Manoeuvres In the Dark,714776989,Enola Gay - Orchestral Manoeuvres In the Dark
This Charming Man,The Smiths,799995891,,,,,,This Charming Man - The Smiths,799995891,This Charming Man - The Smiths
Flying Whales,Gojira,213374170,,,,,,Flying Whales - GOJIRA,213374170,Flying Whales - GOJIRA
Oblivion,Mastodon,1218346021,,,,,,Oblivion - Mastodon,1218346021,Oblivion - Mastodon
Ghost of Perdition,Opeth,214473109,,,,,,Ghost of Perdition - Opeth,214473109,Ghost of Perdition - Opeth
My Curse,Killswitch Engage,262090792,,,,,,My Curse - Killswitch Engage,262090792,My Curse - Killswitch Engage
Bleed,Meshuggah,1882049242,,,,,,Bleed - Meshuggah,1882049242,Bleed - Meshuggah
Autre Temps,Alcest,1556065981,,,,,,Autre Temps - Alcest,1556065981,Autre Temps - Alcest
Digital Bath,Deftones,1099848723,,,,,,Digital Bath - Deftones,1099848723,Digital Bath - Deftones
The Art of Dying,Gojira,291261425,,,,,,The Art of Dying - GOJIRA,291261425,The Art of Dying - GOJIRA
Selkies: The Endless Obsession,Between the Buried and Me,1442255887,,,,,,Selkies: The Endless Obsession - Between the Buried and Me,1442255887,Selkies: The Endless Obsession - Between the Buried and Me
Marigold,Periphery,1639115794,,,,,,Marigold - Periphery,1639115794,Marigold - Periphery
Hasta la Raiz,Natalia Lafourcade,1055384375,,,,,,Hasta la Raíz - Natalia Lafourcade,1055384375,Hasta la Raíz - Natalia Lafourcade
To My Love,Bomba Estereo,993274908,,,,,,To My Love - Bomba Estéreo,993274908,To My Love - Bomba Estéreo
Disfruto,Carla Morrison,1862968116,,,,,,Disfruto - Carla Morrison,1862968116,Disfruto - Carla Morrison
Eres,Cafe Tacvba,1444184596,,,,,,Eres - Café Tacvba,1444184596,Eres - Café Tacvba
Vamonos a Marte,Kevin Kaarl,1862621557,,,,,,Vámonos a Marte - Kevin Kaarl,1862621557,Vámonos a Marte - Kevin Kaarl
Amarrame,Mon Laferte,1440881194,,,,,,Amárrame (feat. Juanes) - Mon Laferte,1440881194,Amárrame (feat. Juanes) - Mon Laferte
Pa' Donde Se Fue,Mon Laferte,1440880827,,,,,,Pa’ Dónde Se Fue - Mon Laferte,1440880827,Pa’ Dónde Se Fue - Mon Laferte
Labios Rotos,Zoe,727494908,,,,,,Labios Rotos - ZOE,727494908,Labios Rotos - ZOE
En el 2000,Natalia Lafourcade,373992070,,,,,,En El 2000 - Natalia Lafourcade,373992070,En El 2000 - Natalia Lafourcade
Tuyo,Rodrigo Amarante,1030422720,,,,,,Tuyo - Rodrigo Amarante,1030422720,Tuyo - Rodrigo Amarante
Friday Morning,Khruangbin,1299241652,,,,,,Friday Morning - Khruangbin,1299241652,Friday Morning - Khruangbin
Your Hand in Mine,Explosions in the Sky,318951791,,,,,,Your Hand In Mine - Explosions In the Sky,318951791,Your Hand In Mine - Explosions In the Sky
Turtles All the Way Down,Sturgill Simpson,1887707092,,,,,,Turtles All the Way Down - Sturgill Simpson,1887707092,Turtles All the Way Down - Sturgill Simpson
How Do I Let a Good Man Down?,Sharon Jones & The Dap-Kings,1485055630,,,,,,How Do I Let a Good Man Down? - Sharon Jones & The Dap-Kings,1485055630,How Do I Let a Good Man Down? - Sharon Jones & The Dap-Kings
Bloodbuzz Ohio,The National,368054504,,,,,,Bloodbuzz Ohio - The National,368054504,Bloodbuzz Ohio - The National
Postcards from Italy,Beirut,1309594830,,,,,,Postcards from Italy - Beirut,1309594830,Postcards from Italy - Beirut
The Stable Song,Gregory Alan Isakov,259648498,,,,,,The Stable Song - Gregory Alan Isakov,259648498,The Stable Song - Gregory Alan Isakov
Roads,Portishead,1440653203,,,,,,Roads - Portishead,1440653203,Roads - Portishead
